ArrayAmount,Time(microseconds)
quickSort
500,747
600,1053
700,1404
800,1882
900,2377
1000,2892
1100,3440
1200,4146
1300,4771
1400,5433
1500,6304
1600,7674
1700,7869
1800,9188
1900,10127
2000,10805
2100,12201
2200,12976
2300,13838
2400,15945
2500,15860
2600,17346
2700,18470
2800,19944
2900,21217
3000,22531
3100,24342
3200,25650
3300,26769
3400,28361
3500,30304
3600,31305
3700,33098
3800,35316
3900,35792
4000,38727
4100,39867
4200,42459
4300,43762
4400,45788
4500,48090
4600,49331
4700,51383
4800,54913
4900,55852
5000,56919
5100,60030
5200,62552
5300,63999
5400,65404
5500,68259
5600,73312
5700,72349
5800,75582
5900,77678
6000,80557
6100,82949
6200,85132
6300,86662
6400,89793
6500,91974
6600,97350
6700,96716
6800,99636
6900,104253
7000,105853
7100,108198
7200,116604
7300,115382
7400,118389
7500,114477
7600,123840
7700,124951
7800,126879
7900,131532
8000,130451
8100,132250
8200,138381
8300,141616
8400,147587
8500,145436
8600,152960
8700,155425
8800,158101
8900,159095
9000,163755
9100,164649
9200,168443
9300,177133
9400,179443
9500,179098
9600,184077
9700,193493
9800,189997
9900,196060
10000,201065
quickSort + heapSort + insertionSort
500,181
600,227
700,270
800,322
900,358
1000,405
1100,456
1200,504
1300,549
1400,595
1500,645
1600,691
1700,747
1800,787
1900,834
2000,883
2100,949
2200,1000
2300,1047
2400,1191
2500,1141
2600,1193
2700,1248
2800,1304
2900,1362
3000,1432
3100,1499
3200,1523
3300,1630
3400,1609
3500,1660
3600,1744
3700,1794
3800,1814
3900,1898
4000,1954
4100,2043
4200,2075
4300,2116
4400,2172
4500,2226
4600,2312
4700,2363
4800,2420
4900,2457
5000,2507
5100,2548
5200,2634
5300,2653
5400,2686
5500,2768
5600,2793
5700,2967
5800,3029
5900,3095
6000,3159
6100,3157
6200,3255
6300,3648
6400,3329
6500,3529
6600,3436
6700,3484
6800,3536
6900,3538
7000,3733
7100,3745
7200,3840
7300,3807
7400,3826
7500,3917
7600,4021
7700,4043
7800,4166
7900,4219
8000,4275
8100,4223
8200,4473
8300,4466
8400,4529
8500,4585
8600,4710
8700,4701
8800,4712
8900,4835
9000,4812
9100,5005
9200,5072
9300,5061
9400,5121
9500,5169
9600,5231
9700,5283
9800,5376
9900,5398
10000,5487

