ArrayAmount,Time(microseconds)
quickSort
500,74
600,229
700,369
800,454
900,333
1000,1478
1100,310
1200,456
1300,1142
1400,1049
1500,717
1600,1676
1700,2760
1800,676
1900,1743
2000,1069
2100,3729
2200,2334
2300,2837
2400,1434
2500,1981
2600,4678
2700,5889
2800,2278
2900,8331
3000,2799
3100,2501
3200,2424
3300,8692
3400,17704
3500,9855
3600,6908
3700,11737
3800,6430
3900,20251
4000,4940
4100,8576
4200,4775
4300,19229
4400,25534
4500,9604
4600,35718
4700,10197
4800,14497
4900,22868
5000,7631
5100,27846
5200,10814
5300,12933
5400,6959
5500,2653
5600,17352
5700,3346
5800,18934
5900,9673
6000,37210
6100,36544
6200,35902
6300,40459
6400,35188
6500,45422
6600,47524
6700,57296
6800,73165
6900,75251
7000,79848
7100,115185
7200,95266
7300,102827
7400,109112
7500,120791
7600,123463
7700,123952
7800,140155
7900,152572
8000,164937
8100,171977
8200,175852
8300,188790
8400,190727
8500,208731
8600,231584
8700,222510
8800,220140
8900,224877
9000,236968
9100,280524
9200,254515
9300,281239
9400,273444
9500,285983
9600,307231
9700,314778
9800,313106
9900,327572
10000,342401
quickSort + heapSort + insertionSort
500,195
600,189
700,312
800,281
900,421
1000,399
1100,380
1200,583
1300,633
1400,687
1500,577
1600,764
1700,864
1800,919
1900,977
2000,843
2100,1099
2200,1156
2300,1207
2400,1364
2500,1352
2600,1851
2700,1189
2800,1496
2900,1579
3000,1406
3100,1441
3200,1756
3300,1821
3400,1888
3500,1838
3600,2005
3700,1750
3800,2102
3900,2155
4000,2215
4100,2313
4200,2390
4300,2438
4400,2495
4500,2558
4600,2620
4700,2689
4800,2740
4900,2802
5000,2866
5100,2926
5200,2991
5300,3054
5400,2734
5500,3170
5600,3316
5700,3331
5800,3450
5900,3487
6000,3545
6100,3599
6200,3672
6300,3725
6400,3784
6500,3857
6600,3907
6700,3973
6800,4039
6900,4091
7000,4166
7100,4219
7200,4279
7300,4336
7400,4410
7500,4436
7600,4537
7700,4596
7800,5844
7900,4742
8000,4826
8100,4886
8200,4994
8300,5127
8400,5143
8500,5307
8600,5296
8700,5391
8800,5417
8900,5454
9000,5528
9100,5600
9200,5679
9300,6097
9400,5830
9500,5884
9600,6030
9700,6048
9800,6062
9900,6122
10000,6192

